item,detection recall %,relevant,relevant retrieved
BER_3749_004140_004260.rttm,98.33,111.30,109.44
BER_3749_004620_004740.rttm,87.85,75.42,66.26
BER_3749_005520_005640.rttm,92.38,82.94,76.62
BER_3749_007860_007980.rttm,23.22,12.75,2.96
BER_3749_009540_009660.rttm,95.57,26.62,25.44
BER_3749_009720_009840.rttm,100.00,0.00,0.00
BER_3749_011280_011400.rttm,100.00,0.00,0.00
BER_3749_011640_011760.rttm,100.00,0.00,0.00
BER_3749_017640_017760.rttm,79.10,67.71,53.56
BER_3749_019920_020040.rttm,73.21,70.62,51.70
BER_3749_021240_021360.rttm,100.00,42.42,42.42
BER_3749_026400_026520.rttm,100.00,78.92,78.92
BER_3749_028920_029040.rttm,97.32,35.11,34.17
BER_3749_034680_034800.rttm,93.59,89.39,83.66
BER_3749_043560_043680.rttm,85.44,53.49,45.70
BER_3895_003780_003900.rttm,11.32,3.18,0.36
BER_3895_006120_006240.rttm,100.00,0.00,0.00
BER_3895_009300_009420.rttm,89.72,44.26,39.71
BER_3895_012180_012300.rttm,81.26,101.17,82.21
BER_3895_013020_013140.rttm,78.63,94.17,74.05
BER_3895_013440_013560.rttm,96.82,104.66,101.33
BER_3895_014940_015060.rttm,92.89,93.13,86.51
BER_3895_021660_021780.rttm,89.77,69.62,62.50
BER_3895_027120_027240.rttm,62.82,52.90,33.23
BER_3895_030120_030240.rttm,86.90,11.68,10.15
BER_3895_030480_030600.rttm,87.42,28.54,24.95
BER_3895_033060_033180.rttm,92.18,1.79,1.65
BER_3895_037560_037680.rttm,100.00,0.00,0.00
BER_3895_043560_043680.rttm,92.80,76.65,71.13
BER_3895_047220_047340.rttm,96.90,31.29,30.32
BER_5750_004860_004980.rttm,70.26,67.92,47.72
BER_5750_006420_006540.rttm,97.58,91.84,89.62
BER_5750_008100_008220.rttm,100.00,109.70,109.70
BER_5750_010560_010680.rttm,100.00,102.85,102.85
BER_5750_022500_022620.rttm,100.00,0.00,0.00
BER_5750_027060_027180.rttm,89.40,90.55,80.95
BER_5750_029340_029460.rttm,91.95,25.70,23.63
BER_5750_029760_029880.rttm,85.52,77.84,66.57
BER_5750_030120_030240.rttm,94.72,46.74,44.27
BER_5750_030420_030540.rttm,95.39,68.96,65.78
BER_5750_034560_034680.rttm,100.00,0.00,0.00
BER_5750_038520_038640.rttm,100.00,0.00,0.00
BER_5750_039300_039420.rttm,100.00,0.00,0.00
BER_5750_039840_039960.rttm,100.00,0.00,0.00
BER_5750_040800_040920.rttm,100.00,0.00,0.00
BER_6035_008160_008280.rttm,93.08,63.34,58.96
BER_6035_010680_010800.rttm,84.84,77.19,65.49
BER_6035_013920_014040.rttm,90.37,88.23,79.73
BER_6035_018600_018720.rttm,100.00,0.00,0.00
BER_6035_019380_019500.rttm,100.00,0.00,0.00
BER_6035_021240_021360.rttm,100.00,0.00,0.00
BER_6035_022140_022260.rttm,100.00,0.00,0.00
BER_6035_026940_027060.rttm,86.58,77.81,67.37
BER_6035_027780_027900.rttm,84.00,66.92,56.21
BER_6035_030300_030420.rttm,92.45,59.74,55.23
BER_6035_030840_030960.rttm,99.66,71.29,71.05
BER_6035_037980_038100.rttm,100.00,0.00,0.00
BER_6035_041460_041580.rttm,100.00,0.00,0.00
BER_6035_045540_045660.rttm,100.00,0.00,0.00
BER_6035_049440_049560.rttm,100.00,0.00,0.00
BER_7758_003780_003900.rttm,86.91,19.41,16.87
BER_7758_004740_004860.rttm,96.69,30.21,29.21
BER_7758_010440_010560.rttm,100.00,4.00,4.00
BER_7758_010740_010860.rttm,93.93,20.42,19.18
BER_7758_012180_012300.rttm,100.00,24.10,24.10
BER_7758_019140_019260.rttm,91.19,70.35,64.15
BER_7758_021540_021660.rttm,100.00,0.00,0.00
BER_7758_026700_026820.rttm,100.00,0.00,0.00
BER_7758_027600_027720.rttm,100.00,0.00,0.00
BER_7758_027960_028080.rttm,100.00,0.00,0.00
BER_7758_029940_030060.rttm,77.21,11.76,9.08
BER_7758_031380_031500.rttm,100.00,0.00,0.00
BER_7758_032520_032640.rttm,100.00,0.00,0.00
BER_7758_034260_034380.rttm,18.77,99.67,18.71
BER_7758_038460_038580.rttm,93.88,45.76,42.96
C01_20170706_12840.rttm,100.00,0.00,0.00
C01_20170706_16440.rttm,100.00,5.23,5.23
C01_20170706_20040.rttm,100.00,0.00,0.00
C01_20170706_2040.rttm,91.47,30.35,27.76
C01_20170706_23640.rttm,100.00,3.61,3.61
C01_20170706_27240.rttm,100.00,0.00,0.00
C01_20170706_30840.rttm,100.00,0.00,0.00
C01_20170706_34440.rttm,100.00,0.00,0.00
C01_20170706_38040.rttm,100.00,0.00,0.00
C01_20170706_41640.rttm,100.00,0.00,0.00
C01_20170706_45240.rttm,100.00,0.00,0.00
C01_20170706_48840.rttm,100.00,0.00,0.00
C01_20170706_52440.rttm,82.23,17.22,14.16
C01_20170706_56040.rttm,100.00,0.42,0.42
C01_20170706_5640.rttm,41.76,5.34,2.23
C01_20170706_9240.rttm,68.55,3.18,2.18
C01_20170718_12840.rttm,100.00,0.00,0.00
C01_20170718_16440.rttm,50.84,8.97,4.56
C01_20170718_20040.rttm,40.26,13.19,5.31
C01_20170718_2040.rttm,56.81,17.62,10.01
C01_20170718_23640.rttm,88.05,16.32,14.37
C01_20170718_27240.rttm,33.47,4.75,1.59
C01_20170718_30840.rttm,100.00,0.00,0.00
C01_20170718_34440.rttm,74.00,30.69,22.71
C01_20170718_38040.rttm,85.48,9.16,7.83
C01_20170718_41640.rttm,90.27,16.44,14.84
C01_20170718_45240.rttm,100.00,0.00,0.00
C01_20170718_48840.rttm,100.00,0.00,0.00
C01_20170718_52440.rttm,100.00,0.00,0.00
C01_20170718_56040.rttm,100.00,0.00,0.00
C01_20170718_5640.rttm,73.12,6.40,4.68
C01_20170718_9240.rttm,58.08,25.26,14.67
C04_20170707_12840.rttm,72.99,22.73,16.59
C04_20170707_16440.rttm,90.17,39.05,35.21
C04_20170707_20040.rttm,100.00,6.98,6.98
C04_20170707_2040.rttm,93.87,32.47,30.48
C04_20170707_23640.rttm,100.00,0.00,0.00
C04_20170707_27240.rttm,85.57,37.64,32.21
C04_20170707_30840.rttm,87.13,11.89,10.36
C04_20170707_34440.rttm,87.11,28.08,24.46
C04_20170707_38040.rttm,89.68,9.98,8.95
C04_20170707_41640.rttm,84.43,1.67,1.41
C04_20170707_45240.rttm,100.00,2.52,2.52
C04_20170707_48840.rttm,100.00,0.00,0.00
C04_20170707_52440.rttm,100.00,0.00,0.00
C04_20170707_56040.rttm,100.00,0.00,0.00
C04_20170707_5640.rttm,89.81,4.22,3.79
C04_20170707_9240.rttm,82.12,28.13,23.10
C09_20170708_12840.rttm,81.37,24.21,19.70
C09_20170708_16440.rttm,57.73,6.34,3.66
C09_20170708_20040.rttm,66.74,32.05,21.39
C09_20170708_2040.rttm,45.62,5.59,2.55
C09_20170708_23640.rttm,100.00,0.00,0.00
C09_20170708_27240.rttm,81.75,29.26,23.92
C09_20170708_30840.rttm,100.00,0.00,0.00
C09_20170708_34440.rttm,100.00,0.00,0.00
C09_20170708_38040.rttm,100.00,0.00,0.00
C09_20170708_41640.rttm,100.00,0.00,0.00
C09_20170708_45240.rttm,100.00,0.00,0.00
C09_20170708_48840.rttm,100.00,0.00,0.00
C09_20170708_52440.rttm,100.00,0.00,0.00
C09_20170708_56040.rttm,100.00,0.00,0.00
C09_20170708_5640.rttm,64.38,15.13,9.74
C09_20170708_9240.rttm,73.70,12.89,9.50
C10_20170709_12840.rttm,100.00,23.85,23.85
C10_20170709_16440.rttm,86.80,13.56,11.77
C10_20170709_20040.rttm,71.93,33.59,24.16
C10_20170709_2040.rttm,99.02,23.51,23.28
C10_20170709_23640.rttm,89.14,12.98,11.57
C10_20170709_27240.rttm,81.09,27.28,22.12
C10_20170709_30840.rttm,80.00,0.85,0.68
C10_20170709_34440.rttm,92.05,18.62,17.14
C10_20170709_38040.rttm,99.96,51.17,51.15
C10_20170709_41640.rttm,100.00,0.00,0.00
C10_20170709_45240.rttm,100.00,0.00,0.00
C10_20170709_48840.rttm,100.00,0.00,0.00
C10_20170709_52440.rttm,100.00,11.06,11.06
C10_20170709_56040.rttm,100.00,0.00,0.00
C10_20170709_5640.rttm,100.00,0.00,0.00
C10_20170709_9240.rttm,79.68,22.19,17.68
C11_20170709_12840.rttm,100.00,0.00,0.00
C11_20170709_16440.rttm,85.27,19.14,16.32
C11_20170709_20040.rttm,70.66,16.19,11.44
C11_20170709_2040.rttm,95.83,37.64,36.07
C11_20170709_23640.rttm,81.13,20.67,16.77
C11_20170709_27240.rttm,78.18,30.89,24.15
C11_20170709_30840.rttm,86.04,27.50,23.66
C11_20170709_34440.rttm,97.12,26.05,25.30
C11_20170709_38040.rttm,100.00,13.99,13.99
C11_20170709_41640.rttm,100.00,0.00,0.00
C11_20170709_45240.rttm,100.00,1.67,1.67
C11_20170709_48840.rttm,100.00,0.00,0.00
C11_20170709_52440.rttm,100.00,0.00,0.00
C11_20170709_56040.rttm,100.00,0.00,0.00
C11_20170709_5640.rttm,100.00,0.00,0.00
C11_20170709_9240.rttm,100.00,0.00,0.00
C11_20170718_12840.rttm,100.00,0.00,0.00
C11_20170718_16440.rttm,100.00,0.00,0.00
C11_20170718_20040.rttm,100.00,0.00,0.00
C11_20170718_2040.rttm,68.42,1.14,0.78
C11_20170718_23640.rttm,100.00,0.00,0.00
C11_20170718_27240.rttm,100.00,0.00,0.00
C11_20170718_30840.rttm,100.00,0.00,0.00
C11_20170718_34440.rttm,100.00,0.00,0.00
C11_20170718_38040.rttm,100.00,0.00,0.00
C11_20170718_41640.rttm,100.00,0.00,0.00
C11_20170718_45240.rttm,100.00,0.00,0.00
C11_20170718_48840.rttm,42.20,14.74,6.22
C11_20170718_52440.rttm,69.51,31.12,21.63
C11_20170718_56040.rttm,33.00,13.94,4.60
C11_20170718_5640.rttm,82.13,24.79,20.36
C11_20170718_9240.rttm,100.00,0.00,0.00
C12_20170709_12840.rttm,80.86,29.99,24.25
C12_20170709_16440.rttm,53.17,30.71,16.33
C12_20170709_20040.rttm,70.07,10.39,7.28
C12_20170709_2040.rttm,78.33,7.20,5.64
C12_20170709_23640.rttm,85.43,8.51,7.27
C12_20170709_27240.rttm,93.75,32.78,30.73
C12_20170709_30840.rttm,54.39,16.16,8.79
C12_20170709_34440.rttm,66.77,19.86,13.26
C12_20170709_38040.rttm,78.21,16.02,12.53
C12_20170709_41640.rttm,100.00,13.16,13.16
C12_20170709_45240.rttm,100.00,0.00,0.00
C12_20170709_48840.rttm,100.00,0.00,0.00
C12_20170709_52440.rttm,100.00,0.00,0.00
C12_20170709_56040.rttm,100.00,0.00,0.00
C12_20170709_5640.rttm,77.15,32.03,24.71
C12_20170709_9240.rttm,91.46,22.14,20.25
C15_20170710_12840.rttm,100.00,0.00,0.00
C15_20170710_16440.rttm,100.00,0.00,0.00
C15_20170710_20040.rttm,100.00,0.00,0.00
C15_20170710_2040.rttm,57.88,22.20,12.85
C15_20170710_23640.rttm,100.00,0.00,0.00
C15_20170710_27240.rttm,100.00,0.00,0.00
C15_20170710_30840.rttm,100.00,0.00,0.00
C15_20170710_34440.rttm,100.00,0.00,0.00
C15_20170710_38040.rttm,100.00,0.00,0.00
C15_20170710_41640.rttm,100.00,0.00,0.00
C15_20170710_45240.rttm,100.00,0.00,0.00
C15_20170710_48840.rttm,100.00,0.00,0.00
C15_20170710_52440.rttm,100.00,0.00,0.00
C15_20170710_56040.rttm,100.00,0.00,0.00
C15_20170710_5640.rttm,58.14,27.90,16.22
C15_20170710_9240.rttm,87.47,23.30,20.38
C16_20170710_12840.rttm,100.00,30.84,30.84
C16_20170710_16440.rttm,50.00,1.52,0.76
C16_20170710_20040.rttm,44.38,26.16,11.61
C16_20170710_2040.rttm,72.96,29.33,21.40
C16_20170710_23640.rttm,67.12,25.18,16.90
C16_20170710_27240.rttm,50.89,7.84,3.99
C16_20170710_30840.rttm,74.00,4.77,3.53
C16_20170710_34440.rttm,100.00,0.00,0.00
C16_20170710_38040.rttm,100.00,0.00,0.00
C16_20170710_41640.rttm,100.00,0.00,0.00
C16_20170710_45240.rttm,100.00,0.00,0.00
C16_20170710_48840.rttm,100.00,0.00,0.00
C16_20170710_52440.rttm,100.00,0.00,0.00
C16_20170710_56040.rttm,100.00,0.00,0.00
C16_20170710_5640.rttm,46.62,17.48,8.15
C16_20170710_9240.rttm,80.81,27.56,22.27
C18_20170711_12840.rttm,78.73,26.24,20.66
C18_20170711_16440.rttm,74.42,16.89,12.57
C18_20170711_20040.rttm,65.82,41.19,27.11
C18_20170711_2040.rttm,66.69,28.79,19.20
C18_20170711_23640.rttm,88.69,29.97,26.58
C18_20170711_27240.rttm,91.90,14.70,13.51
C18_20170711_30840.rttm,100.00,18.66,18.66
C18_20170711_34440.rttm,99.45,16.28,16.19
C18_20170711_38040.rttm,100.00,0.00,0.00
C18_20170711_41640.rttm,100.00,0.00,0.00
C18_20170711_45240.rttm,0.00,0.66,0.00
C18_20170711_48840.rttm,100.00,0.00,0.00
C18_20170711_52440.rttm,100.00,0.00,0.00
C18_20170711_56040.rttm,100.00,0.00,0.00
C18_20170711_5640.rttm,78.40,12.50,9.80
C18_20170711_9240.rttm,74.39,25.50,18.97
C18_20170718_12840.rttm,100.00,0.00,0.00
C18_20170718_16440.rttm,100.00,0.00,0.00
C18_20170718_20040.rttm,100.00,0.00,0.00
C18_20170718_2040.rttm,74.09,11.58,8.58
C18_20170718_23640.rttm,100.00,0.00,0.00
C18_20170718_27240.rttm,100.00,0.00,0.00
C18_20170718_30840.rttm,100.00,0.00,0.00
C18_20170718_34440.rttm,100.00,0.00,0.00
C18_20170718_38040.rttm,100.00,0.00,0.00
C18_20170718_41640.rttm,100.00,0.00,0.00
C18_20170718_45240.rttm,80.08,31.22,25.00
C18_20170718_48840.rttm,93.13,34.94,32.54
C18_20170718_52440.rttm,82.56,33.09,27.32
C18_20170718_56040.rttm,97.93,12.09,11.84
C18_20170718_5640.rttm,100.00,0.00,0.00
C18_20170718_9240.rttm,100.00,0.00,0.00
C20_20170711_12840.rttm,82.27,24.19,19.90
C20_20170711_16440.rttm,82.81,13.73,11.37
C20_20170711_20040.rttm,48.92,39.00,19.08
C20_20170711_2040.rttm,78.81,35.63,28.08
C20_20170711_23640.rttm,95.50,27.12,25.90
C20_20170711_27240.rttm,99.85,6.83,6.82
C20_20170711_30840.rttm,96.66,7.79,7.53
C20_20170711_34440.rttm,87.87,5.44,4.78
C20_20170711_38040.rttm,96.19,18.36,17.66
C20_20170711_41640.rttm,100.00,0.00,0.00
C20_20170711_45240.rttm,100.00,0.00,0.00
C20_20170711_48840.rttm,100.00,0.00,0.00
C20_20170711_52440.rttm,100.00,0.00,0.00
C20_20170711_56040.rttm,100.00,0.00,0.00
C20_20170711_5640.rttm,81.11,23.45,19.02
C20_20170711_9240.rttm,94.97,32.78,31.13
C22_20170717_12840.rttm,100.00,0.00,0.00
C22_20170717_16440.rttm,100.00,0.00,0.00
C22_20170717_20040.rttm,100.00,0.00,0.00
C22_20170717_2040.rttm,100.00,30.60,30.60
C22_20170717_23640.rttm,100.00,0.00,0.00
C22_20170717_27240.rttm,100.00,0.00,0.00
C22_20170717_30840.rttm,100.00,0.00,0.00
C22_20170717_34440.rttm,100.00,0.00,0.00
C22_20170717_38040.rttm,100.00,0.00,0.00
C22_20170717_41640.rttm,100.00,0.00,0.00
C22_20170717_45240.rttm,52.74,12.42,6.55
C22_20170717_48840.rttm,81.25,19.15,15.56
C22_20170717_52440.rttm,82.86,18.90,15.66
C22_20170717_56040.rttm,90.19,30.69,27.68
C22_20170717_5640.rttm,87.85,13.74,12.07
C22_20170717_9240.rttm,100.00,0.00,0.00
C24_20170712_12840.rttm,0.00,1.14,0.00
C24_20170712_16440.rttm,71.94,4.17,3.00
C24_20170712_20040.rttm,73.15,10.28,7.52
C24_20170712_2040.rttm,90.44,22.07,19.96
C24_20170712_23640.rttm,87.80,50.58,44.41
C24_20170712_27240.rttm,58.73,20.38,11.97
C24_20170712_30840.rttm,100.00,0.00,0.00
C24_20170712_34440.rttm,100.00,0.00,0.00
C24_20170712_38040.rttm,51.20,7.52,3.85
C24_20170712_41640.rttm,18.63,4.51,0.84
C24_20170712_45240.rttm,100.00,0.00,0.00
C24_20170712_48840.rttm,100.00,0.00,0.00
C24_20170712_52440.rttm,100.00,0.00,0.00
C24_20170712_56040.rttm,100.00,0.00,0.00
C24_20170712_5640.rttm,100.00,0.00,0.00
C24_20170712_9240.rttm,100.00,0.00,0.00
C24_20170719_12840.rttm,100.00,0.00,0.00
C24_20170719_16440.rttm,85.95,7.83,6.73
C24_20170719_20040.rttm,98.19,29.89,29.35
C24_20170719_2040.rttm,81.39,19.13,15.57
C24_20170719_23640.rttm,85.68,22.63,19.39
C24_20170719_27240.rttm,76.50,21.45,16.41
C24_20170719_30840.rttm,76.24,23.27,17.74
C24_20170719_34440.rttm,73.56,15.66,11.52
C24_20170719_38040.rttm,100.00,0.00,0.00
C24_20170719_41640.rttm,100.00,0.00,0.00
C24_20170719_45240.rttm,100.00,0.00,0.00
C24_20170719_48840.rttm,100.00,0.00,0.00
C24_20170719_52440.rttm,100.00,0.00,0.00
C24_20170719_56040.rttm,100.00,0.00,0.00
C24_20170719_5640.rttm,95.03,22.93,21.79
C24_20170719_9240.rttm,93.47,4.44,4.15
C25_20170719_12840.rttm,83.69,25.20,21.09
C25_20170719_16440.rttm,99.64,52.35,52.16
C25_20170719_20040.rttm,100.00,15.23,15.23
C25_20170719_2040.rttm,61.22,22.10,13.53
C25_20170719_23640.rttm,99.37,42.86,42.59
C25_20170719_27240.rttm,95.34,29.20,27.84
C25_20170719_30840.rttm,94.52,30.29,28.63
C25_20170719_34440.rttm,100.00,0.00,0.00
C25_20170719_38040.rttm,100.00,0.00,0.00
C25_20170719_41640.rttm,100.00,0.00,0.00
C25_20170719_45240.rttm,100.00,0.00,0.00
C25_20170719_48840.rttm,0.00,1.52,0.00
C25_20170719_52440.rttm,100.00,0.00,0.00
C25_20170719_56040.rttm,88.64,26.31,23.32
C25_20170719_5640.rttm,13.92,5.03,0.70
C25_20170719_9240.rttm,78.66,11.20,8.81
ROW_1156_001980_002100.rttm,86.40,72.65,62.77
ROW_1156_010140_010260.rttm,94.62,76.61,72.49
ROW_1156_011580_011700.rttm,86.07,73.73,63.46
ROW_1156_013140_013260.rttm,96.76,96.88,93.74
ROW_1156_019680_019800.rttm,91.11,58.40,53.21
ROW_1156_022260_022380.rttm,81.13,31.37,25.45
ROW_1156_025800_025920.rttm,86.73,32.70,28.36
ROW_1156_034500_034620.rttm,80.62,81.67,65.84
ROW_1156_034860_034980.rttm,69.64,89.86,62.58
ROW_1156_038220_038340.rttm,91.86,53.78,49.40
ROW_1156_040020_040140.rttm,100.00,0.00,0.00
ROW_1156_043020_043140.rttm,100.00,0.00,0.00
ROW_1156_046020_046140.rttm,100.00,0.00,0.00
ROW_1156_048600_048720.rttm,100.00,0.00,0.00
ROW_1156_054300_054420.rttm,100.00,0.00,0.00
ROW_1735_001920_002040.rttm,83.65,48.25,40.36
ROW_1735_010020_010140.rttm,88.25,14.13,12.47
ROW_1735_015060_015180.rttm,88.09,71.85,63.29
ROW_1735_016800_016920.rttm,77.51,74.87,58.03
ROW_1735_017160_017280.rttm,77.99,46.17,36.01
ROW_1735_021480_021600.rttm,100.00,44.89,44.89
ROW_1735_030120_030240.rttm,89.55,11.96,10.71
ROW_1735_031260_031380.rttm,89.39,63.24,56.53
ROW_1735_032340_032460.rttm,87.24,54.17,47.26
ROW_1735_039120_039240.rttm,91.08,50.78,46.25
ROW_1735_040620_040740.rttm,89.71,68.33,61.30
ROW_1735_041520_041640.rttm,89.10,4.22,3.76
ROW_1735_044820_044940.rttm,100.00,0.00,0.00
ROW_1735_047580_047700.rttm,100.00,0.00,0.00
ROW_1735_050460_050580.rttm,100.00,0.00,0.00
ROW_1768_008100_008220.rttm,92.80,65.16,60.47
ROW_1768_009180_009300.rttm,88.23,37.56,33.14
ROW_1768_014220_014340.rttm,58.39,83.51,48.76
ROW_1768_016920_017040.rttm,49.52,58.81,29.12
ROW_1768_022440_022560.rttm,90.79,38.12,34.61
ROW_1768_023040_023160.rttm,51.80,15.56,8.06
ROW_1768_023400_023520.rttm,38.33,16.36,6.27
ROW_1768_030000_030120.rttm,92.39,14.98,13.84
ROW_1768_030300_030420.rttm,63.84,16.37,10.45
ROW_1768_032580_032700.rttm,76.73,47.15,36.18
ROW_1768_033540_033660.rttm,84.42,41.20,34.78
ROW_1768_034620_034740.rttm,3.02,11.91,0.36
ROW_1768_035220_035340.rttm,93.47,61.11,57.12
ROW_1768_036720_036840.rttm,100.00,0.00,0.00
ROW_1768_044340_044460.rttm,100.00,0.00,0.00
ROW_2745_007200_007320.rttm,70.45,30.05,21.17
ROW_2745_014700_014820.rttm,86.60,25.44,22.03
ROW_2745_017940_018060.rttm,10.18,49.60,5.05
ROW_2745_020160_020280.rttm,75.41,4.88,3.68
ROW_2745_023760_023880.rttm,100.00,0.00,0.00
ROW_2745_026760_026880.rttm,100.00,0.00,0.00
ROW_2745_031260_031380.rttm,69.25,49.04,33.96
ROW_2745_033360_033480.rttm,59.30,10.59,6.28
ROW_2745_033720_033840.rttm,60.79,7.37,4.48
ROW_2745_033960_034080.rttm,62.96,20.14,12.68
ROW_2745_034980_035100.rttm,73.85,6.50,4.80
ROW_2745_039900_040020.rttm,83.29,52.67,43.87
ROW_2745_040800_040920.rttm,53.64,36.22,19.43
ROW_2745_044160_044280.rttm,68.81,5.61,3.86
ROW_2745_053040_053160.rttm,100.00,0.00,0.00
ROW_3486_008160_008280.rttm,23.40,30.69,7.18
ROW_3486_010620_010740.rttm,91.85,31.54,28.97
ROW_3486_022380_022500.rttm,92.85,61.55,57.15
ROW_3486_026400_026520.rttm,70.52,58.78,41.45
ROW_3486_027960_028080.rttm,88.94,39.24,34.90
ROW_3486_030660_030780.rttm,45.76,54.17,24.79
ROW_3486_033060_033180.rttm,74.64,81.22,60.62
ROW_3486_039660_039780.rttm,100.00,0.00,0.00
ROW_3486_041460_041580.rttm,100.00,0.00,0.00
ROW_3486_047220_047340.rttm,100.00,0.00,0.00
ROW_3486_049500_049620.rttm,100.00,0.00,0.00
ROW_3486_050040_050160.rttm,100.00,0.00,0.00
ROW_3486_050400_050520.rttm,100.00,0.00,0.00
ROW_3486_050940_051060.rttm,100.00,0.00,0.00
ROW_3486_051300_051420.rttm,100.00,0.00,0.00
ROW_7798_009660_009780.rttm,68.52,18.90,12.95
ROW_7798_012420_012540.rttm,100.00,0.00,0.00
ROW_7798_013800_013920.rttm,100.00,0.00,0.00
ROW_7798_014400_014520.rttm,100.00,0.00,0.00
ROW_7798_017580_017700.rttm,100.00,11.90,11.90
ROW_7798_017880_018000.rttm,94.07,93.61,88.06
ROW_7798_019560_019680.rttm,88.71,81.21,72.04
ROW_7798_030780_030900.rttm,83.64,86.10,72.01
ROW_7798_033240_033360.rttm,88.87,88.83,78.94
ROW_7798_037020_037140.rttm,100.00,0.00,0.00
ROW_7798_040380_040500.rttm,68.86,79.93,55.04
ROW_7798_044580_044700.rttm,92.95,45.41,42.21
ROW_7798_050580_050700.rttm,59.43,42.47,25.24
ROW_7798_051420_051540.rttm,100.00,0.00,0.00
ROW_7798_056220_056340.rttm,100.00,0.00,0.00
ROW_8357_002820_002940.rttm,48.47,27.54,13.35
ROW_8357_006900_007020.rttm,91.59,65.87,60.33
